event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
548,289638,289638000000000,60,-69.052366166471813,-15.045935111032522,0.42012694250837807,0.00060043232841410041,0.00019441592517274259,false,289646
549,289725,289725000000000,1,-37.684716185947735,-11.922154580818306,0.26452310225921533,0.00037809021850896676,0.00036722702821326026,false,289733
550,290211,290211000000000,1,-37.344551927142156,-40.919993286497004,0.35874220357647058,0.00051272566792325014,0.00036885055637008417,false,290219
551,291821,291821000000000,9,-44.253243895802399,-39.053586101793542,0.52756374245432025,0.00075391975996530935,0.00028843969572229703,true,291829
552,292003,292003000000000,8,-46.816733417316023,-17.27017833131347,0.57659192709327545,0.00082395506026907719,0.00036967896784032358,true,292011
553,293007,293007000000000,7,-48.573075865919279,-44.525200188656214,0.34591983227489143,0.00049440406160902001,6.1110829168710041e-05,false,293015
554,293033,293033000000000,6,-51.367856631010397,-13.437689963943857,0.44887775816083803,0.00064150891535756118,4.7270909378386375e-05,false,293041
555,293404,293404000000000,6,-51.195606062856797,-35.576652676888934,0.76596822103542517,0.00109442735646686,0.00075342533102083699,true,293412
556,293869,293869000000000,5,-53.573431074888447,-30.679208809267436,0.94103443621569272,0.001344396488485063,0.00038079523462928108,true,293877
557,293921,293921000000000,5,-53.516997748760637,-33.781227707733343,0.85852931187714687,0.001226598946677404,0.00075243906036655532,true,293929
558,295155,295155000000000,3,-57.809988495094231,-42.11703970627682,0.49850318302372315,0.00071240529989429911,0.00066251706746489516,false,295163
559,296400,296400000000000,0,-65.053867497197899,-18.474929263342283,0.66783760563395644,0.00095428372383997266,5.146023135253418e-06,true,296408
560,296609,296609000000000,11,-34.471922078762006,-36.38604425653125,0.44490992477352481,0.00063584013128410895,0.00054670453856572139,false,296617
561,297339,297339000000000,21,-36.263083126148288,-47.287545997918272,0.16850367902457503,0.00024086351960974086,8.7838391370695422e-05,false,297347
562,298626,298626000000000,18,-43.76239123462981,-26.160391612216284,0.78613870985951295,0.0011232310742099181,0.00018444867766586251,true,298634
563,298976,298976000000000,7,-73.789825945265562,-41.597619677145694,0.27191309172423928,0.00038865088287813674,0.00020741276516156627,false,298984
564,298993,298993000000000,17,-46.068777210810431,-15.411239183574654,0.48736676094447323,0.00069649590782585094,0.00029994572102760668,false,299001
565,299540,299540000000000,5,-78.708509821075438,-9.9619225218240679,0.095840353681921578,0.00013700379738908045,5.0764067694294759e-06,false,299548
566,300289,300289000000000,26,-20.130287379830165,-32.89500876736237,0.23152806290495723,0.00033093729670194324,0.00011810823915677932,false,300297
567,300561,300561000000000,25,-22.529476935442819,-16.478382184507389,0.18642724145685463,0.00026648050964766997,1.1243857987858929e-05,false,300569
568,300683,300683000000000,14,-52.910682567321302,-18.317798602524892,0.69133507654048498,0.00098784304265339944,0.000744287659137471,true,300691
569,300811,300811000000000,14,-52.882420071819134,-25.95702013679173,0.94320852499649011,0.0013475003782725638,0.00053765790346843286,true,300819
570,300967,300967000000000,14,-52.737769628643008,-35.263852729480242,0.79533804997931767,0.0011363675745610889,0.0010082712885272755,true,300975
571,301499,301499000000000,24,-24.499355124580774,-39.800695393875202,0.20648325349585309,0.00029514449399257575,9.9725560458124759e-05,false,301507
572,302591,302591000000000,11,-59.600723527935109,-34.231642542630553,0.87373646790353499,0.0012483121649291458,0.00081210983193452592,true,302599
573,303416,303416000000000,31,-33.915831451162305,-23.610172637824725,0.51813330158024284,0.00074044809336836599,4.2341651582872388e-05,true,303424
574,304061,304061000000000,41,-5.6644593765572777,-34.891393920629525,0.065369136674829215,9.3447224219236753e-05,4.1362365848238607e-05,false,304069
575,304191,304191000000000,29,-38.433580842244019,-4.5561009773434424,0.099049853995833118,0.00014159145365846214,2.8985786724147306e-05,false,304199
576,305084,305084000000000,17,-71.146520753518061,-19.761262224534907,0.51320016585597505,0.00073340088921642829,0.0003830574172725768,true,305092
577,305590,305590000000000,27,-43.038207182414752,-22.750302980816461,0.70791322288995762,0.0010115194359069408,0.00047711215429923688,true,305598
578,305648,305648000000000,16,-73.42439502977517,-20.769820739967258,0.44608020686523298,0.00063751209910670322,0.00052033553557232761,false,305656
579,306613,306613000000000,25,-47.606243168150428,-18.500528199153386,0.63975431152642004,0.0009141734084386605,0.00075898439573793546,true,306621
580,306966,306966000000000,36,-16.676732464059477,-44.995824830151953,0.071917357194560702,0.00010280762893890217,9.2018865779955905e-05,false,306974
581,307786,307786000000000,34,-21.730599300607533,-28.644606665223936,0.28006012810237257,0.00040029327583133078,0.00020638481782005221,false,307794
582,307871,307871000000000,12,-82.536150444543765,-22.834346842803267,0.15627809053784131,0.00022338989911740599,0.00015967712579594045,false,307879
583,308761,308761000000000,32,-56.722765295855339,-16.088576836557742,0.60533758295583717,0.00086501509010053794,0.00062794800163553668,true,308769
584,309178,309178000000000,42,-28.616860674751688,-13.765428823466433,0.21045123776216809,0.00030081542625627177,0.00015593856396973631,false,309186
585,309348,309348000000000,31,-59.00420670842751,-18.470080009733064,0.72890941076789773,0.0010415047333698947,0.00013469812181247617,true,309356
586,311459,311459000000000,27,-68.115418424128819,-13.849492020118189,0.39694897116507544,0.00056731649243852269,1.4289748615647601e-05,false,311467
587,312259,312259000000000,26,-70.343645013942961,-28.942942582282566,0.68757539173392024,0.00098247349963067753,0.00043234510578396313,true,312267
588,312750,312750000000000,25,-72.656327488871625,-25.595345748743249,0.56199219450609916,0.00080310029069740772,0.00010025920831922334,true,312758
589,314239,314239000000000,33,-49.134761514858631,-21.947665878362141,0.79479821478460821,0.0011355967039076162,0.0010390778109729722,true,314247
